Suburb,SellerG,CouncilArea,Type,BuildingArea,Rooms,Propertycount,Lattitude,Longtitude,Distance,YearBuilt,Car,Postcode,airbnb_price_median,airbnb_weekly_price_median,airbnb_monthly_price_median
Abbotsford,Nelson,Yarra,h,174.0,3,4019.0,-37.8017,145.0001,2.5,2012.0,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Nelson,Yarra,h,128.0,2,4019.0,-37.8005,144.9952,2.5,1920.0,2.0,3067.0,100.0,380.0,1440.0
Abbotsford,Collins,Yarra,h,,4,4019.0,-37.7994,144.9965,2.5,,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,h,124.0,3,4019.0,-37.8007,144.9958,2.5,1950.0,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Jellis,Yarra,h,91.0,2,4019.0,-37.8016,144.9956,2.5,1900.0,0.0,3067.0,100.0,380.0,1440.0
Abbotsford,Jellis,Yarra,h,128.0,3,4019.0,-37.8022,144.9954,2.5,1998.0,1.0,3067.0,100.0,380.0,1440.0
Abbotsford,Nelson,Yarra,h,82.0,2,4019.0,-37.8021,144.9976,2.5,1900.0,0.0,3067.0,100.0,380.0,1440.0
Abbotsford,Biggin,Yarra,h,81.0,2,4019.0,-37.8086,144.9946,2.5,1930.0,1.0,3067.0,100.0,380.0,1440.0
Airport West,Nelson,Moonee Valley,t,225.0,3,3464.0,-37.718,144.878,13.5,2016.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,h,145.0,3,3464.0,-37.7203,144.8755,13.5,1965.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,h,145.0,3,3464.0,-37.7203,144.8755,13.5,1965.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,h,84.0,2,3464.0,-37.7294,144.888,13.5,1950.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Brad,Moonee Valley,t,134.0,3,3464.0,-37.7218,144.8837,13.5,2009.0,2.0,3042.0,65.0,400.0,1550.0
Airport West,Maddison,Moonee Valley,h,116.0,3,3464.0,-37.7273,144.8744,13.5,1980.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,u,86.0,2,3464.0,-37.7215,144.8864,13.5,2011.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,h,,3,3464.0,-37.7173,144.8872,13.5,,1.0,3042.0,65.0,400.0,1550.0
Airport West,Considine,Moonee Valley,h,127.0,4,3464.0,-37.7259,144.8792,13.5,,2.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,t,90.0,2,3464.0,-37.7216,144.871,13.5,2015.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,u,73.0,2,3464.0,-37.7298,144.8883,13.5,2013.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,u,94.0,2,3464.0,-37.7234,144.8792,13.5,2012.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,h,105.0,3,3464.0,-37.7217,144.8783,13.5,1950.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,u,130.0,3,3464.0,-37.7302,144.8855,13.5,1993.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,u,,2,3464.0,-37.7177,144.8787,13.5,,1.0,3042.0,65.0,400.0,1550.0
Airport West,Propertyau,Moonee Valley,h,,5,3464.0,-37.7248,144.8699,13.5,,2.0,3042.0,65.0,400.0,1550.0
Airport West,Brad,Moonee Valley,t,133.0,3,3464.0,-37.727,144.887,13.5,2009.0,2.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,h,113.0,3,3464.0,-37.7186,144.876,13.5,1960.0,2.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,u,,2,3464.0,-37.7218,144.8863,13.5,2003.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,h,,3,3464.0,-37.7269,144.8742,13.5,,2.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,h,100.0,2,3464.0,-37.7187,144.8765,13.5,1975.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,McDonald,Moonee Valley,h,,3,3464.0,-37.7231,144.8835,13.5,,1.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,h,192.0,3,3464.0,-37.7285,144.8694,13.5,1980.0,2.0,3042.0,65.0,400.0,1550.0
Airport West,Rendina,Moonee Valley,h,126.0,3,3464.0,-37.7164,144.8792,13.5,1995.0,2.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,h,,3,3464.0,-37.7194,144.8827,13.5,,3.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,t,101.0,3,3464.0,-37.7231,144.8802,13.5,2010.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,t,102.0,3,3464.0,-37.72,144.8776,13.5,1960.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,h,113.0,3,3464.0,-37.7226,144.8733,13.5,1975.0,1.0,3042.0,65.0,400.0,1550.0
Airport West,Barry,Moonee Valley,h,,3,3464.0,-37.7184,144.882,13.5,,1.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,u,76.0,2,3464.0,-37.7202,144.8797,13.5,,1.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,h,,3,3464.0,-37.7181,144.8824,13.5,,1.0,3042.0,65.0,400.0,1550.0
Airport West,Brad,Moonee Valley,h,,3,3464.0,-37.7169,144.8815,13.5,,2.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,h,,4,3464.0,-37.7263,144.869,13.5,,2.0,3042.0,65.0,400.0,1550.0
Airport West,Nelson,Moonee Valley,h,,3,3464.0,-37.72,144.878,13.5,,1.0,3042.0,65.0,400.0,1550.0
Airport West,Prof.,Moonee Valley,h,,4,3464.0,-37.7261,144.8785,13.5,,2.0,3042.0,65.0,400.0,1550.0
Airport West,Harcourts,Moonee Valley,h,146.0,4,3464.0,-37.7256,144.8739,13.5,1975.0,3.0,3042.0,65.0,400.0,1550.0
Albert Park,hockingstuart,Port Phillip,h,82.0,2,3280.0,-37.8459,144.9555,3.3,1900.0,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Thomson,Port Phillip,h,,2,3280.0,-37.845,144.9538,3.3,,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Buxton,Port Phillip,h,198.0,3,3280.0,-37.8481,144.9499,3.3,1890.0,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,133.0,3,3280.0,-37.8452,144.9488,3.3,1890.0,0.0,3206.0,165.0,900.0,3209.0
Albert Park,RT,Port Phillip,h,81.0,2,3280.0,-37.8431,144.9565,3.3,1900.0,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Marshall,Port Phillip,h,,2,3280.0,-37.8444,144.9484,3.3,1900.0,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Sotheby's,Port Phillip,h,,2,3280.0,-37.8405,144.9521,3.3,,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Marshall,Port Phillip,h,180.0,4,3280.0,-37.8447,144.9523,3.3,1880.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Marshall,Port Phillip,t,,3,3280.0,-37.8443,144.9598,3.3,,2.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,159.0,3,3280.0,-37.8415,144.952,3.3,1996.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,107.0,2,3280.0,-37.8422,144.9554,3.3,1900.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Cayzer,Port Phillip,h,,3,3280.0,-37.8443,144.9579,3.3,,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Marshall,Port Phillip,h,122.0,3,3280.0,-37.8421,144.9571,3.3,1900.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,,2,3280.0,-37.8379,144.9539,3.3,,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Cayzer,Port Phillip,h,181.0,3,3280.0,-37.8415,144.9585,3.3,1880.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,,5,3280.0,-37.8436,144.9557,3.3,,1.0,3206.0,165.0,900.0,3209.0
Albert Park,hockingstuart,Port Phillip,h,,3,3280.0,-37.8422,144.94899999999996,3.3,,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,85.0,3,3280.0,-37.8451,144.9511,3.3,2000.0,2.0,3206.0,165.0,900.0,3209.0
Albert Park,Cayzer,Port Phillip,h,,2,3280.0,-37.8407,144.9523,3.3,,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,,3,3280.0,-37.8445,144.9501,3.3,,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,98.0,2,3280.0,-37.8443,144.9481,3.3,1890.0,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,83.0,2,3280.0,-37.8424,144.9562,3.3,1890.0,0.0,3206.0,165.0,900.0,3209.0
Albert Park,RT,Port Phillip,h,147.0,3,3280.0,-37.847,144.9575,3.3,1900.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,,3,3280.0,-37.8468,144.9546,3.3,1900.0,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,146.0,3,3280.0,-37.8473,144.9551,3.3,1890.0,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Cayzer,Port Phillip,h,254.0,4,3280.0,-37.8467,144.9475,3.3,1910.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,u,,2,3280.0,-37.846,144.9542,3.3,,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Marshall,Port Phillip,h,123.0,3,3280.0,-37.8427,144.9546,3.3,1900.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Marshall,Port Phillip,h,131.0,3,3280.0,-37.8461,144.9528,3.3,1890.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Marshall,Port Phillip,h,207.0,4,3280.0,-37.8477,144.9558,3.3,1910.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,,2,3280.0,-37.846,144.9517,3.3,,0.0,3206.0,165.0,900.0,3209.0
Albert Park,hockingstuart,Port Phillip,h,,3,3280.0,-37.8429,144.9493,3.3,,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Chisholm,Port Phillip,h,,3,3280.0,-37.8415,144.9585,3.3,,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,,3,3280.0,-37.8413,144.95,3.3,,2.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,145.0,4,3280.0,-37.8434,144.9495,3.3,1880.0,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Marshall,Port Phillip,h,,2,3280.0,-37.8416,144.9488,3.3,,1.0,3206.0,165.0,900.0,3209.0
Albert Park,Greg,Port Phillip,h,68.0,2,3280.0,-37.8387,144.9519,3.3,1890.0,0.0,3206.0,165.0,900.0,3209.0
Albert Park,hockingstuart,Port Phillip,h,,3,3280.0,-37.8488,144.9551,3.3,,0.0,3206.0,165.0,900.0,3209.0
Albert Park,Marshall,Port Phillip,h,134.0,3,3280.0,-37.8448,144.9453,3.3,1890.0,2.0,3206.0,165.0,900.0,3209.0
Albert Park,Buxton,Port Phillip,h,,3,3280.0,-37.8399,144.9577,3.3,,1.0,3206.0,165.0,900.0,3209.0
Alphington,Brace,Darebin,h,263.0,4,2211.0,-37.7707,145.0318,6.4,1930.0,4.0,3078.0,79.0,395.0,1850.0
Alphington,Jellis,Yarra,h,,3,2211.0,-37.7854,145.0325,6.4,2013.0,2.0,3078.0,79.0,395.0,1850.0
Alphington,Jellis,Darebin,h,,3,2211.0,-37.7713,145.0279,6.4,,2.0,3078.0,79.0,395.0,1850.0
Alphington,Collins,Darebin,h,203.0,4,2211.0,-37.7717,145.031,6.4,1925.0,1.0,3078.0,79.0,395.0,1850.0
Alphington,Nelson,Darebin,h,165.0,5,2211.0,-37.775,145.0268,6.4,1910.0,4.0,3078.0,79.0,395.0,1850.0
Alphington,Miles,Darebin,t,140.0,2,2211.0,-37.7804,145.0308,6.4,2004.0,3.0,3078.0,79.0,395.0,1850.0
Alphington,McGrath,Darebin,u,,2,2211.0,-37.7773,145.0314,6.4,,1.0,3078.0,79.0,395.0,1850.0
Alphington,hockingstuart,Darebin,h,,3,2211.0,-37.78,145.0341,6.4,,2.0,3078.0,79.0,395.0,1850.0
Alphington,Nelson,Darebin,h,,3,2211.0,-37.7755,145.0288,6.4,,2.0,3078.0,79.0,395.0,1850.0
Alphington,Nelson,Darebin,u,,2,2211.0,-37.7747,145.0264,6.4,,1.0,3078.0,79.0,395.0,1850.0
Alphington,Nelson,Darebin,h,112.0,4,2211.0,-37.7743,145.0316,6.4,1970.0,2.0,3078.0,79.0,395.0,1850.0
Alphington,hockingstuart,Darebin,h,131.0,3,2211.0,-37.7802,145.0243,6.4,2010.0,1.0,3078.0,79.0,395.0,1850.0
Alphington,Brace,Yarra,t,,2,2211.0,-37.7848,145.025,6.4,,0.0,3078.0,79.0,395.0,1850.0
Alphington,Barry,Yarra,h,,3,2211.0,-37.7792,145.029,6.4,,2.0,3078.0,79.0,395.0,1850.0
Alphington,McGrath,Darebin,h,,3,2211.0,-37.7781,145.0284,6.4,,0.0,3078.0,79.0,395.0,1850.0
Alphington,Jellis,Darebin,h,210.0,4,2211.0,-37.7719,145.0309,6.4,1920.0,3.0,3078.0,79.0,395.0,1850.0
Altona,Greg,Hobsons Bay,h,242.0,3,5301.0,-37.87,144.825,13.8,2015.0,1.0,3018.0,80.0,732.5,1550.5
Altona,Greg,Hobsons Bay,h,268.0,5,5301.0,-37.8721,144.8105,13.8,2005.0,3.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,t,125.0,2,5301.0,-37.8687,144.8197,13.8,2013.0,2.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,h,120.0,3,5301.0,-37.8693,144.8375,13.8,1930.0,2.0,3018.0,80.0,732.5,1550.5
Altona,Sweeney,Hobsons Bay,h,,4,5301.0,-37.868,144.8154,13.8,,4.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,u,94.0,3,5301.0,-37.8702,144.8143,13.8,1955.0,2.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,u,,2,5301.0,-37.8693,144.8171,13.8,,1.0,3018.0,80.0,732.5,1550.5
Altona,Greg,Hobsons Bay,h,123.0,3,5301.0,-37.8616,144.8116,13.8,1955.0,1.0,3018.0,80.0,732.5,1550.5
Altona,Greg,Hobsons Bay,h,,3,5301.0,-37.8594,144.817,13.8,,1.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,u,93.0,2,5301.0,-37.8696,144.827,13.8,1988.0,1.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,t,,3,5301.0,-37.8734,144.8143,13.8,1997.0,2.0,3018.0,80.0,732.5,1550.5
Altona,Village,Hobsons Bay,u,76.0,2,5301.0,-37.8686,144.8182,13.8,1990.0,1.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,h,,4,5301.0,-37.8733,144.8147,13.8,,2.0,3018.0,80.0,732.5,1550.5
Altona,Jas,Hobsons Bay,u,,3,5301.0,-37.8646,144.827,13.8,,2.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,t,152.0,3,5301.0,-37.8579,144.8181,13.8,,2.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,u,,2,5301.0,-37.8659,144.83100000000005,13.8,,1.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,h,130.0,4,5301.0,-37.8658,144.8155,13.8,1950.0,2.0,3018.0,80.0,732.5,1550.5
Altona,Gunn&Co,Hobsons Bay,t,176.0,3,5301.0,-37.8698,144.816,13.8,,2.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,u,141.0,3,5301.0,-37.868,144.8286,13.8,2014.0,1.0,3018.0,80.0,732.5,1550.5
Altona,Sweeney,Hobsons Bay,h,,3,5301.0,-37.8611,144.8114,13.8,1960.0,4.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,u,,2,5301.0,-37.8676,144.8202,13.8,,1.0,3018.0,80.0,732.5,1550.5
Altona,Burnham,Hobsons Bay,u,77.0,2,5301.0,-37.8655,144.8299,13.8,1990.0,1.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,u,,3,5301.0,-37.868,144.8287,13.8,,1.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,h,87.0,3,5301.0,-37.8608,144.8124,13.8,1950.0,2.0,3018.0,80.0,732.5,1550.5
Altona,Biggin,Hobsons Bay,u,76.0,2,5301.0,-37.8687,144.8268,13.8,2013.0,1.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,h,,3,5301.0,-37.8674,144.8375,13.8,,2.0,3018.0,80.0,732.5,1550.5
Altona,Greg,Hobsons Bay,h,136.0,3,5301.0,-37.86,144.8245,13.8,1965.0,2.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,h,,3,5301.0,-37.8672,144.817,13.8,,2.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,t,,3,5301.0,-37.8583,144.8172,13.8,,0.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,h,,3,5301.0,-37.8699,144.8235,13.8,,1.0,3018.0,80.0,732.5,1550.5
Altona,Williams,Hobsons Bay,u,113.0,3,5301.0,-37.8684,144.815,13.8,2007.0,1.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,h,,4,5301.0,-37.8663,144.8387,13.8,,0.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,u,,3,5301.0,-37.8659,144.822,13.8,,2.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,h,,3,5301.0,-37.8612,144.8247,13.8,,2.0,3018.0,80.0,732.5,1550.5
Altona,hockingstuart,Hobsons Bay,h,100.0,2,5301.0,-37.8653,144.8129,13.8,1950.0,1.0,3018.0,80.0,732.5,1550.5
Altona,Barlow,Hobsons Bay,h,,3,5301.0,-37.8651,144.832,13.8,,1.0,3018.0,80.0,732.5,1550.5
Altona,Sweeney,Hobsons Bay,h,,3,5301.0,-37.871,144.8075,13.8,,4.0,3018.0,80.0,732.5,1550.5
Altona,Greg,Hobsons Bay,h,,3,5301.0,-37.8631,144.8195,13.8,,2.0,3018.0,80.0,732.5,1550.5
Altona,Sweeney,Hobsons Bay,h,,4,5301.0,-37.8637,144.8365,13.8,1970.0,3.0,3018.0,80.0,732.5,1550.5
Altona,Compton,Hobsons Bay,h,91.0,2,5301.0,-37.8646,144.8272,13.8,1996.0,1.0,3018.0,80.0,732.5,1550.5
Altona North,Jas,Hobsons Bay,h,117.0,3,5132.0,-37.8291,144.835,11.1,1970.0,2.0,3025.0,55.0,,
Altona North,Jas,Hobsons Bay,h,,3,5132.0,-37.8449,144.85,11.1,,3.0,3025.0,55.0,,
Altona North,hockingstuart,Hobsons Bay,t,77.0,2,5132.0,-37.8351,144.8529,11.1,2009.0,1.0,3025.0,55.0,,
Altona North,Sweeney,Hobsons Bay,h,,3,5132.0,-37.8338,144.8562,11.1,,3.0,3025.0,55.0,,
Altona North,FN,Hobsons Bay,h,167.0,3,5132.0,-37.8284,144.8355,11.1,1967.0,2.0,3025.0,55.0,,
Altona North,Sweeney,Hobsons Bay,h,,3,5132.0,-37.8267,144.8368,11.1,,3.0,3025.0,55.0,,
Altona North,Greg,Hobsons Bay,h,130.0,3,5132.0,-37.8379,144.8583,11.1,2012.0,1.0,3025.0,55.0,,
Altona North,Williams,Hobsons Bay,h,118.0,3,5132.0,-37.838,144.8555,11.1,1970.0,1.0,3025.0,55.0,,
Altona North,Village,Hobsons Bay,h,116.0,3,5132.0,-37.8294,144.8378,11.1,1960.0,3.0,3025.0,55.0,,
Altona North,Jas,Hobsons Bay,h,169.0,4,5132.0,-37.8448,144.8529,11.1,1965.0,4.0,3025.0,55.0,,
Altona North,Jas,Hobsons Bay,h,,3,5132.0,-37.8449,144.85,11.1,,3.0,3025.0,55.0,,
Altona North,Williams,Hobsons Bay,t,,2,5132.0,-37.8397,144.8602,11.1,1965.0,1.0,3025.0,55.0,,
Altona North,Williams,Hobsons Bay,h,,4,5132.0,-37.8451,144.8529,11.1,,4.0,3025.0,55.0,,
Altona North,hockingstuart,Hobsons Bay,h,109.0,3,5132.0,-37.8337,144.8554,11.1,2012.0,2.0,3025.0,55.0,,
Altona North,Greg,Hobsons Bay,h,97.0,3,5132.0,-37.8258,144.8523,11.1,1960.0,2.0,3025.0,55.0,,
Altona North,Gunn&Co,Hobsons Bay,h,,4,5132.0,-37.8345,144.8444,11.1,,4.0,3025.0,55.0,,
Altona North,Sweeney,Hobsons Bay,h,,3,5132.0,-37.8254,144.8514,11.1,,3.0,3025.0,55.0,,
Altona North,Greg,Hobsons Bay,h,,3,5132.0,-37.8269,144.8455,11.1,,2.0,3025.0,55.0,,
Altona North,Raine&Horne,Hobsons Bay,h,170.0,4,5132.0,-37.8391,144.8467,11.1,2008.0,4.0,3025.0,55.0,,
Altona North,Hunter,Hobsons Bay,h,100.0,3,5132.0,-37.8262,144.8443,11.1,2010.0,2.0,3025.0,55.0,,
Altona North,Jas,Hobsons Bay,h,157.0,3,5132.0,-37.8277,144.8385,11.1,1960.0,1.0,3025.0,55.0,,
Altona North,hockingstuart,Hobsons Bay,h,160.0,3,5132.0,-37.8382,144.8649,11.1,1950.0,1.0,3025.0,55.0,,
Altona North,Sweeney,Hobsons Bay,h,,3,5132.0,-37.8423,144.8632,11.1,2008.0,4.0,3025.0,55.0,,
Altona North,Village,Hobsons Bay,h,,3,5132.0,-37.8444,144.8491,11.1,,2.0,3025.0,55.0,,
Altona North,RT,Hobsons Bay,h,,2,5132.0,-37.834,144.8553,11.1,,2.0,3025.0,55.0,,
Altona North,hockingstuart,Hobsons Bay,h,130.0,3,5132.0,-37.8318,144.8388,11.1,1960.0,3.0,3025.0,55.0,,
Altona North,Greg,Hobsons Bay,h,,4,5132.0,-37.833,144.8494,11.1,,2.0,3025.0,55.0,,
Altona North,Hunter,Hobsons Bay,h,,4,5132.0,-37.8262,144.8439,11.1,,3.0,3025.0,55.0,,
Altona North,RT,Hobsons Bay,t,,4,5132.0,-37.8393,144.8568,11.1,,1.0,3025.0,55.0,,
Altona North,RT,Hobsons Bay,h,158.0,4,5132.0,-37.8375,144.8541,11.1,1960.0,4.0,3025.0,55.0,,
Altona North,Hunter,Hobsons Bay,h,,3,5132.0,-37.8441,144.8505,11.1,,1.0,3025.0,55.0,,
Altona North,Hunter,Hobsons Bay,h,,3,5132.0,-37.8285,144.8351,11.1,,1.0,3025.0,55.0,,
Altona North,Jas,Hobsons Bay,u,70.0,2,5132.0,-37.8332,144.8649,11.1,1970.0,1.0,3025.0,55.0,,
Armadale,Jellis,Stonnington,u,76.0,2,4836.0,-37.8543,145.0262,6.3,1964.0,1.0,3143.0,100.0,550.0,2390.0
Armadale,Noel,Stonnington,u,,2,4836.0,-37.8539,145.0284,6.3,,0.0,3143.0,100.0,550.0,2390.0
Armadale,Marshall,Stonnington,u,100.0,3,4836.0,-37.8552,145.016,6.3,1998.0,2.0,3143.0,100.0,550.0,2390.0
Armadale,Jellis,Stonnington,t,105.0,3,4836.0,-37.854,145.0135,6.3,2000.0,2.0,3143.0,100.0,550.0,2390.0
